92	Alexios	Greek	male	given name	import from Matrikels2-0_PublicationVersion_20230816
93	Aleydis	Germanic	female	given name	import from Matrikels2-0_PublicationVersion_20230816
94	Aligerinus	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
95	Alleau	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
96	Allerinus	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
97	Aloysius	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
98	Alfhard	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
99	Alphons	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
100	Alsasse	Germanic?	male	given name	import from Matrikels2-0_PublicationVersion_20230816
101	Alstenus	Germanic?	male	given name	import from Matrikels2-0_PublicationVersion_20230816
102	Altetus	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
103	Altherus	Germanic?	male	given name	import from Matrikels2-0_PublicationVersion_20230816
104	Alvin	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
105	Amabilis	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
106	Amadeus	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
107	Amandus	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
108	Amans	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
109	Amatus	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
110	Ambrosios	Greek	male	given name	import from Matrikels2-0_PublicationVersion_20230816
111	Amelgardus	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
112	Amelicus	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
113	Amelus	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
114	Amicus	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
116	Ammanus	Semitic (Hebrew)?	male	given name	import from Matrikels2-0_PublicationVersion_20230816
118	Amontius	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
119	Amor	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
120	Amosius	Semitic (Hebrew)?	male	given name	import from Matrikels2-0_PublicationVersion_20230816
121	Amyntas	Greek	male	given name	import from Matrikels2-0_PublicationVersion_20230816
122	Anatolia	Greek	female	given name	import from Matrikels2-0_PublicationVersion_20230816
123	Anatolios	Greek	male	given name	import from Matrikels2-0_PublicationVersion_20230816
124	Ancelin	Romance	male	given name	import from Matrikels2-0_PublicationVersion_20230816
125	Andomarus	Germanic?	male	given name	import from Matrikels2-0_PublicationVersion_20230816
126	Andreas	Greek	male	given name	import from Matrikels2-0_PublicationVersion_20230816
127	Angarinus	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
128	Angelinus	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
129	Angelotus	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
130	Angelos	Greek	male	given name	import from Matrikels2-0_PublicationVersion_20230816
131	Angerus	Germanic?	male	given name	import from Matrikels2-0_PublicationVersion_20230816
132	Anna	Semitic (Hebrew)	female	given name	import from Matrikels2-0_PublicationVersion_20230816
133	Annardus	Germanic?	male	given name	import from Matrikels2-0_PublicationVersion_20230816
134	Anneredus	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
135	Annerus	Semitic (Hebrew)?	male	given name	import from Matrikels2-0_PublicationVersion_20230816
136	Annianus	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
137	Annotus	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
138	Ansbert	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
139	Anselm	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
140	Antinoos	Greek	male	given name	import from Matrikels2-0_PublicationVersion_20230816
141	Antonia	Latin	female	given name	import from Matrikels2-0_PublicationVersion_20230816
143	Antonius	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
145	Aperus	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
146	Apico	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
147	Apollinaris	Greek	male	given name	import from Matrikels2-0_PublicationVersion_20230816
148	Apollonios	Greek	male	given name	import from Matrikels2-0_PublicationVersion_20230816
150	Aprobus	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
