193	Baierus	unknown	male	given name
195	Baldric	Germanic	male	given name
196	Baldwin	Germanic	male	given name
197	Balthasar	Semitic (Akkadian)	male	given name
198	Banaudus	unknown	male	given name
199	Baptista	Greek	male	given name
201	Barbara	Greek	female	given name
202	Barbaros	Greek	male	given name
203	Barbirius	Latin	male	given name
204	Barnabas	Semitic (Aramaic)	male	given name
206	Baronius	Romance	male	given name
208	Bartholomaios	Greek	male	given name
209	Basileios	Greek	male	given name
210	Bastardus	Latin	male	given name
211	Bastianus	Latin	male	given name
213	Batalis	unknown	male	given name
214	Bavarus	Latin	male	given name
215	Bavo	Germanic	male	given name
216	Beatrix	Latin	female	given name
217	Beatus	Latin	male	given name
218	Bellarminus	Romance	male	given name
219	Benedictus	Latin	male	given name
220	Benerus	unknown	male	given name
221	Benignus	Latin	male	given name
223	Benjamin	Semitic (Hebrew)	male	given name
224	Benno	Germanic	male	given name
227	Berdonius	unknown	male	given name
229	Brynach	Celtic	male	given name
230	Bernardinus	Germanic and Latin	male	given name
231	Bernhard	Germanic	male	given name
232	Berthold	Germanic	male	given name
234	Bertulf	Germanic	male	given name
235	Bertinus	Germanic and Latin	male	given name
236	Bertram	Germanic	male	given name
237	Bertrand	Germanic	male	given name
238	Bertylandus	Germanic?	male	given name
239	Bernward	Germanic	male	given name
241	Beterus	unknown	male	given name
242	Betranius	unknown	male	given name
243	Betsmannus	unknown	male	given name
244	Betzardus	unknown	male	given name
245	Beyerus	Germanic	male	given name
246	Biso	Germanic?	male	given name
247	Bitterus	unknown	male	given name
248	Blankhard	Germanic	male	given name
249	Blancus	Latin	male	given name
250	Blasius	Latin	male	given name
251	Blaswelle	Germanic?	male	given name
252	Blieck	unknown	male	given name
254	Bocho	Germanic?	male	given name
255	Bocoldus	Germanic	male	given name
256	Bodo	Germanic	male	given name
257	Bodonicus	unknown	male	given name
258	Boethios	Greek	male	given name
259	Bolinus	Germanic and Latin	male	given name
260	Bollard	Germanic	male	given name
261	Bolthe		gender-neutral	family name
262	Bonhomme	Romance	gender-neutral	family name
263	Bonaventura	Romance	male	given name
264	Bonellus	Romance	male	given name
265	Bonetus	Latin	male	given name
266	Bonifatius	Latin	male	given name
267	Bonus	Latin	male	given name
268	Borderus	Germanic?	male	given name
269	Boreldus	unknown	male	given name
271	Borromeus	Romance	male	given name
272	Bossard	Germanic	male	given name
274	Branda	Romance?	male	given name
275	Branderic	Germanic	male	given name
276	Brandulf	Germanic	male	given name
277	Breida	unknown	male	given name
278	Brentius	Germanic?	male	given name
279	Brice	Celtic	male	given name
280	Brigerus	Germanic?	male	given name
281	Britannius	Latin	male	given name
282	Brito	Latin?	male	given name
283	Brixinus	Germanic	male	given name
285	Brochghardus	Germanic?	male	given name
286	Broderus	Germanic	male	given name
287	Brogelius	unknown	male	given name
288	Bruffaudus	unknown	male	given name
289	Brumoldus		male	given name
290	Brunis	Germanic?	male	given name
291	Bruno	Germanic	male	given name
292	Brunstein	Germanic	male	given name
293	Bucho	Germanic?	male	given name
294	Burkhard	Germanic	male	given name
295	Buridanus	unknown	male	given name
296	Bussanus	unknown	male	given name
298	Busserus	unknown	male	given name
299	Bussingerus	unknown	male	given name
300	Buveletus	unknown	male	given name
301	Bynoen	Germanic	male	given name
302	Caesar	Latin	male	given name
303	Caius	Latin	male	given name
304	Caietanus	Latin	male	given name
305	Kallistos	Greek	male	given name
306	Camillus	Latin	male	given name
307	Campo	Germanic	male	given name
308	Camus	Romance	male	given name
309	Candidus	Latin	male	given name
310	Canis	Latin?	male	given name
311	Capistranus	Romance	male	given name
312	Carinus	Latin	male	given name
315	Kazimierz	Slavic	male	given name
316	Gaspar	Semitic (Aramaic)	male	given name
317	Katharina	Greek	female	given name
318	Katherinos	Greek	male	given name
319	Catillus	Latin?	male	given name
320	Caudius	Latin?	male	given name
321	Cautuno	unknown	male	given name
322	Caecilius	Latin	male	family name
323	Caelestinus	Latin	male	given name
324	Celsus	Latin	male	given name
325	Cempo	Germanic?	male	given name
326	Centurio	Latin	male	given name
328	Ceranus	unknown	male	given name
329	Ceso	Germanic?	male	given name
330	Cestus		male	given name
331	Charlacus		male	given name
332	Chrianus		male	given name
333	Chrismanus		male	given name
334	Christiana	Greek and Latin	female	given name
335	Christianus	Greek and Latin	male	given name
336	Christina		female	given name
337	Christinus		male	given name
338	Christophoros	Greek	male	given name
339	Christophus		male	given name
340	Chrysantus		male	given name
341	Chrysolius		male	given name
342	Chrysostomos	Greek	male	given name
343	Cisteus		male	given name
344	Clarebaldus	Germanic	male	given name
345	Claudius	Latin	male	given name
346	Claudiusius	Latin	male	given name
347	Clemens	Latin	male	given name
348	Cleophas	Greek	male	given name
349	Clericus		male	given name
350	Cleuck		gender-neutral	family name
351	Clewardus		male	given name
352	Colardus		male	given name
353	Coleta	Romance	female	given name
354	Coletus		male	given name
355	Colinus		male	given name
356	Collus		male	given name
357	Columba	Latin	gender-neutral	given name
359	Cono	Germanic	male	given name
360	Conrad	Germanic	male	given name
361	Conrinus		male	given name
362	Constantinus	Latin	male	given name
363	Constantius	Latin	male	given name
364	Convallus		male	given name
365	Coppo	Germanic	male	given name
366	Coras	unknown	male	given name
367	Corbelius		male	given name
368	Cormacus		male	given name
369	Cornegroenris	unknown	male	given name
370	Cornelia		female	given name
371	Cornelius		male	given name
373	Cornerus		male	given name
374	Corus		male	given name
375	Kosmas	Greek	male	given name
376	Cossanus		male	given name
377	Costinus		male	given name
378	Costulus		male	given name
379	Costus		male	given name
380	Coswinus		male	given name
381	Cotardus		male	given name
382	Coutackerus		male	given name
383	Crato	Germanic?	male	given name
384	Criso	Germanic?	male	given name
385	Crispianus	Latin	male	given name
386	Crispinus	Latin	male	given name
387	Kruls		gender-neutral	family name
388	Cunerus		male	given name
389	Kuno	Germanic	male	given name
390	Cupificis	Latin?	male	given name
391	Curtius		male	given name
392	Cuttaneus		male	given name
393	Cuthbert	Germanic	male	given name
394	Cyprianus	Greek and Latin	male	given name
395	Cyrillus		male	given name
396	Dabso	Germanic?	male	given name
397	Daco	Germanic?	male	given name
398	Dagenus		male	given name
399	Dagobertus		male	given name
400	Damascenus		male	given name
401	Damasus		male	given name
402	Damianos	Greek	male	given name
403	Damus		male	given name
404	Duncan	Celtic	male	given name
405	Dancardus		male	given name
406	Dancerus		male	given name
407	Daniel	Semitic (Hebrew)	male	given name
408	Dantus		male	given name
409	Darius		male	given name
410	Dato	Germanic?	male	given name
411	David	Semitic (Hebrew)	male	given name
412	Davila	Romance	gender-neutral	family name
413	Dedardus		male	given name
414	Deddo	Germanic?	male	given name
415	Dedericus		male	given name
416	Degenardus		male	given name
417	Degornis	unknown	male	given name
418	Delliano		male	given name
419	Denea		female	given name
420	Denerus		male	given name
421	Dengemanus		male	given name
422	Denis	Greek	male	given name
423	Dentlinus		male	given name
424	Deodatus		male	given name
425	Dermitius		male	given name
427	Desideratus		male	given name
428	Desiderius		male	given name
429	Desiratus		male	given name
430	Deslus		male	given name
431	Detlenus		male	given name
432	Detmarus		male	given name
433	Dialengus		male	given name
434	Diardus	Germanic?	male	given name
435	Diaz		gender-neutral	family name
436	Diego		male	given name
437	Diddo		male	given name
438	Digmanus		male	given name
439	Dignus		male	given name
