15	Faculty of arts	Artes	Artes faculteit	faculty	28	9	12	1425	9	11	1797	2		test records
16	The Falcon	Paedagogium Falconis	Pedagogie De Valk		15	0	0	0	0	0	0	2		created for matriculation records
17	The Castle	Paedagogium Castri	Pedagogie De Burcht		15	0	0	0	0	0	0	2		created for matriculation records
18	The Pig	Paedagogium Porci	Pedagogie Het Varken		15	0	0	0	0	0	0	2		created for matriculation records
19	The Lily	Paedagogium Lilii	Pedagogie De Lelie		15	0	0	0	0	0	0	2		created for matriculation records
20	Pedagogy unknown	Pedagogy unknown	Pedagogie onbekend		15	0	0	0	0	0	0	2		test records
21	Holy Trinity college	Collegium Sanctissimae Trinitatis	Heilige-Drievuldigheidscollege	college	0	1	10	1657	0	0	0	2	Successor of Vaulx College (Inst 66)	test records
22	Faculty of Medicine	Faculty of Medicine	Medische faculteit	faculty	28	0	0	0	0	0	0	2		test records
23	College of Ath	Collegium Athense	College van Ath	college	0	0	0	0	0	0	0	2		test records
24	College of Mons	Collegium Montense	College van Bergen	college	0	0	0	0	0	0	0	2		test records
25	Faculty of Law		Rechtsfaculteit	college	28	0	0	0	0	0	0	2		test records
26	Faculty of Theology		Theologische faculteit	faculty	28	0	0	0	0	0	0	2		test records
27	Viglius College	Collegium Vigliani	Viglius College	college	0	0	0	0	0	0	0	2		test records
28	Old University of Leuven	Studium Generale Lovaniense	Oude Universiteit Leuven	university	0	9	12	1425	9	11	1797	2		test records
29	Collegium Trilingue	Collegium Trilingue	Drietalencollege	college	0	22	6	1517	25	10	1797	2		test records
30	Saint Geertrui abbey		Abdij Sint Geertrui	monastic / religious	0	0	0	0	0	0	0	2		test records
31	Augustinians	Ordo (Eremitarum) Sancti Augustini	Augustijnen	monastic / religious	0	0	0	0	0	0	0	2		test records
32	Baius College	Collegium Baii	Baius College	college	0	0	0	0	0	0	0	2		test records
33	Dominicans	Ordo Praedicatorum	Dominicanen	monastic / religious	0	0	0	0	0	0	0	2	Order of Praechers / Predikheren	test records
35	Hollands College		Hollands College	college	0	0	0	0	0	0	0	2		test records
36	Society of Jesus	Societas Iesu	Jezuieten	monastic / religious	0	0	0	0	0	0	0	2		test records
37	Luxemburg College		Luxemburgcollege	college	0	0	0	0	0	0	0	2		test records
38	Premonstratensians	Ordo Praemonstratensis	Norbertijnen	monastic / religious	0	0	0	0	0	0	0	2		test records
39	Pope College	Collegium Adriani VI	Pauscollege	college	0	0	0	0	0	0	0	2		test records
40	Faculty of Civil Law		Burgerlijk recht	faculty	25	0	0	0	0	0	0	2		test records
41	Faculty of Canon Law		Kanoniek recht	faculty	25	0	0	0	0	0	0	2		test records
42	College of Arras	Collegium Atrebatensis	Atrechtcollege	college	0	0	0	0	0	0	0	2		test records
43	unknown		onbekend		0	0	0	0	0	0	0	0		test records
44	Birckmann workshop	Birckmannica officina	Birckmann	printer / publisher	0	0	0	1540	0	0	1703	737		test records
47	Willibrordus and Bonifacius College	Collegium SS. Willibrordi et Bonifacii	Willibrordus en Bonifacius College	college	0	0	0	0	0	0	0	0		test records
48	Comin da Trino workshop		Comin da Trino	printer / publisher	0	0	0	0	0	0	0	0		test records
49	Council of Trente	Concilium Tridentinum	Concilie van Trente		0	0	0	0	0	0	0	738		test records
50	Baglioni workshop	Officina Baglioni	Baglioni	printer / publisher	0	0	0	1590	0	0	1844	8273		test records
51	Plantijn workshop	Officina Plantiniana	Plantijn	printer / publisher	0	0	0	1555	0	0	1876	26	De Gulden Passer	test records
52	Stamperia Camerale		Stamperia Camerale	printer / publisher	0	0	0	1589	0	0	1851	740		test records
53	Stamperia di S.A.S.		Stamperia di S.A.S.	printer / publisher	0	0	0	0	0	0	0	741		test records
54	t'Serstevens workshop		t'Serstevens	printer / publisher	0	0	0	0	0	0	0	116		test records
55	Thielmannus	Thielmannus	Thielmannus	bookseller	0	0	0	0	0	0	0	2		test records
56	Tipografia del Seminario		Tipografia del Seminario	printer / publisher	0	0	0	0	0	0	0	742		test records
57	Typographia academica	Typographia academica	Typographia academica	printer / publisher	0	0	0	1759	0	0	1797	2		test records
58	Vanlinthout and Vandenzande		Vanlinthout en Vandenzande	printer / publisher	0	0	0	0	0	0	0	2		test records
59	Waisenhaus		Waisenhaus	printer / publisher	0	0	0	0	0	0	0	743		test records
60	Diocese of Tournai		Bisdom Doornik		0	0	0	1146	0	0	0	168		test records
65	College of Ghent	Collegium Gandense	Gents college	college	0	0	2	1559	0	0	1587	2	Converted into the Vaulx College (Inst 66) in 1587	created for matriculation records
66	Vaulx College	Collegium Vaulxianum	Vaulxcollege	college	0	0	0	1587	0	0	1657	2	Formerly the College of Ghent (Inst 65)	created for matriculation records
67	College of the Augustinians		Augustijnencollege	college	31	12	3	1612	0	0	1741	2		created for matriculation records
69	Standonck College	Collegium Standonck	Standockcollege	college	0	0	0	1500	0	0	1797	2		created for matriculation records
70	Saint Peter's School	Schola Sancti Petri	Sint-Pietersschool		0	0	0	0	0	0	0	2		created for matriculation records
71	Benedictines	Ordinis Sancti Benedicti	Benedictijnen	monastic / religious	0	0	0	0	0	0	0	0		created for Magister Dixit
72	Cistercians	(Sacer) Ordo Cisterciensis	Orde der Cisterciënzers	monastic / religious	0	0	0	0	0	0	0	0		created for CAA
73	Discalced Carmelites	Ordo Carmelitarum Discalceatorum	Ongeschoeide karmelieten	monastic / religious	74	0	0	0	0	0	0	0		created for CAA
74	Carmelites	Ordo Fratrum Beatissimæ Virginis Mariæ de Monte Carmelo	Karmelieten	monastic / religious	0	0	0	0	0	0	0	0		created for CAA
75	Carthusians	Ordo Cartusiensis	Kartuizers	monastic / religious	0	0	0	0	0	0	0	0		created for CAA
76	Franciscans	Ordo Fratrum Minorum	Franciscanen; minderbroeders; Serafijnse Orde	monastic / religious	0	0	0	0	0	0	0	0		created for CAA
