70	Beveren	50.97256	3.14389	749		import from Matrikels2-0_PublicationVersion_20230816
71	Beverlo	51.08646	5.21855	749		import from Matrikels2-0_PublicationVersion_20230816
72	Bevingen	50.7975	5.1772	749		import from Matrikels2-0_PublicationVersion_20230816
73	Bienne-lez-Happart	50.35213	4.21616	749		import from Matrikels2-0_PublicationVersion_20230816
74	Bierges	50.71143	4.58658	749		import from Matrikels2-0_PublicationVersion_20230816
75	Bilg			0		import from Matrikels2-0_PublicationVersion_20230816
76	Bilzen	50.87325	5.5184	749		import from Matrikels2-0_PublicationVersion_20230816
77	Binche	50.41155	4.16469	749		import from Matrikels2-0_PublicationVersion_20230816
78	Bissegem	50.82378	3.22844	749		import from Matrikels2-0_PublicationVersion_20230816
79	Bissen			395		import from Matrikels2-0_PublicationVersion_20230816
80	Blaasveld	51.05585	4.37668	749		import from Matrikels2-0_PublicationVersion_20230816
81	Blandain	50.62095	3.30521	749		import from Matrikels2-0_PublicationVersion_20230816
82	Blaton	50.50038	3.66008	749		import from Matrikels2-0_PublicationVersion_20230816
83	Bochunensis			0		import from Matrikels2-0_PublicationVersion_20230816
84	Boechout	51.15959	4.49195	749		import from Matrikels2-0_PublicationVersion_20230816
85	Boeschepe	50.8	2.7	725		import from Matrikels2-0_PublicationVersion_20230816
86	Boezinge	50.89672	2.85421	749		import from Matrikels2-0_PublicationVersion_20230816
87	Bogaarden	50.73986	4.13594	749		import from Matrikels2-0_PublicationVersion_20230816
88	Bois d'Haine	50.5018	4.21555	0		import from Matrikels2-0_PublicationVersion_20230816
89	Bolbeek	50.73015	5.74533	749		import from Matrikels2-0_PublicationVersion_20230816
90	Boneffe	50.62513	4.95612	749		import from Matrikels2-0_PublicationVersion_20230816
91	Bonlez	50.70211	4.68859	749		import from Matrikels2-0_PublicationVersion_20230816
92	Bonnerue	50.1183	5.7233	749		import from Matrikels2-0_PublicationVersion_20230816
93	Booischot	51.05219	4.7751	749		import from Matrikels2-0_PublicationVersion_20230816
94	Boom	51.09242	4.3717	749		import from Matrikels2-0_PublicationVersion_20230816
95	Borgworm	50.6976	5.25524	0		import from Matrikels2-0_PublicationVersion_20230816
96	Bornem	51.09716	4.24364	0		import from Matrikels2-0_PublicationVersion_20230816
97	Bossuit	50.7614	4.6947	749		import from Matrikels2-0_PublicationVersion_20230816
98	Bost			749		import from Matrikels2-0_PublicationVersion_20230816
99	Bouillonville	48.94497	5.841	725		import from Matrikels2-0_PublicationVersion_20230816
100	Boularensis			0		import from Matrikels2-0_PublicationVersion_20230816
101	Bourcy	50.05891	5.80758	749		import from Matrikels2-0_PublicationVersion_20230816
103	Boussoit	50.45947	4.08245	749		import from Matrikels2-0_PublicationVersion_20230816
104	Boutersem	50.84105	4.83367	749		import from Matrikels2-0_PublicationVersion_20230816
105	Bouvignies	50.2725	4.8986	749		import from Matrikels2-0_PublicationVersion_20230816
106	Boxmeer	51.64667	5.94722	748		import from Matrikels2-0_PublicationVersion_20230816
107	Branchon	50.62899	4.97337	749		import from Matrikels2-0_PublicationVersion_20230816
108	Breda	51.58656	4.77596	748		import from Matrikels2-0_PublicationVersion_20230816
109	Bree	51.14152	5.5969	749		import from Matrikels2-0_PublicationVersion_20230816
110	Broechem	51.18133	4.60181	0		import from Matrikels2-0_PublicationVersion_20230816
111	Broechem	51.18133	4.60181	749		import from Matrikels2-0_PublicationVersion_20230816
112	Brunssum	50.94667	5.97083	0		import from Matrikels2-0_PublicationVersion_20230816
113	Brugelette	50.59577	3.85363	749		import from Matrikels2-0_PublicationVersion_20230816
114	Brugge	51.20892	3.22424	749		import from Matrikels2-0_PublicationVersion_20230816
115	Brugse Vrije			749		import from Matrikels2-0_PublicationVersion_20230816
116	Brussels	50.85045	4.34878	749		import from Matrikels2-0_PublicationVersion_20230816
117	Bry	50.318055555556	3.6794444444444	725		import from Matrikels2-0_PublicationVersion_20230816
118	Buer			724		import from Matrikels2-0_PublicationVersion_20230816
119	Buggenhout	51.0159	4.20173	749		import from Matrikels2-0_PublicationVersion_20230816
