47	Bertoldus Jacobi	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
48	Bertoldus de Steenwijck	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
49	Beraldus de Merula	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
50	Bartholomeus Hulst	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
51	Bernardus de Meerloe	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
52	Bartholmeus Lantins	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
53	Bartholomeus Echtelt	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
54	Bartholomeus Symonis de Tula	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
55	Baltazar Junonis	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
56	Bartholomeus Vincke	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
57	Balduinus Heinrici	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
58	Bartholomeus Wage, alias de Tenremonda	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
59	Balduwinus Pestoul	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
60	Balduinus Balduwini	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
61	Baldericus Caperon	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
62	Blancardus Dubaquoert	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
63	Balduwinus Zalaert	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
64	Bartholomeus de Ziricxzee	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
65	Balduwinus Straue	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
66	Brito de Mera	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
